Sr. No.,Reviews
22,"  I have installed 16 GB RAM in Acer 515 51G. From 8 GB to 20 GB. It's running smooth as butter. 40+ tabs on google chrome, outlook, whatsapp, etc. still no lag."
23,"  WORKING DDR4 RAM for my Asus x541ua i3 6006u system.The system had preinstalled 4GB DDR4 Samsung 2400mhz ram, but considering google chrome ram usage, I upgraded it with this DDR4 2666mhz ram module. performance is the same but now ram has free space for more applications to run simultaneously. Soon I will upgrade HDD to 2.5"" SATA III SSD.NOTE: i3 6006u CPU only supports 2133mhz ddr4 ram, so any upgraded ram will run at the same capped speeds."
24,  Good RAM and delivered perfectly by Appario.I have installed it in my Lenovo Ideacenter 510s and it's working perfectly.Go for it.
25,  Good fit for Dell Vostro 3590. much needed for this laptop
26,"  Delivered in 2 days. ""Toogood"" seller is good & responsive.I paired it with 4GB 3200Mhz RAM in my laptop having 2400 Mhz AMD chipset.2666Mhz RAM works fine. Overall clock speed become 2400 Mhz on the laptop.Works fine and without any bluescreen error.Crucial Warranty: Lifetime."
27,"  Please do not waste your time thinking about clock speed 2666 MHz and CL19, this product fits best in the budget.Ram that came with my laptop is CL17. Still felt no differnce. The only issue here is that the original product is in hard plastic [just like most of the earphones] and when the package was delivered, no bubble wrap was used to cover it. This could have led to some damge while the product was being shipped."
28,  I bought it for 14-AM081TU laptop. And it worked perfect. Installed myself.
29,"  Awesome product, My laptop really working superfast after installing 8GB RAM, I had 8GB ram with my laptop Dell, it's was too slow and used to hung like hell, after I have installed another 8GB ram, I'm very happy to use my laptop now. Blindly u can buy and install it, definitely it will improve laptop performance without any doubt."
30,"  I have Acer Nitro 7 i7 9th gen 8gb ram gtx1650 graphic card , I bought this curical 8gb ram for this laptop..And after upgrading the ram, I played Gta 5, Far cry 5, Nfs payback,AC Odyssey and I tried some softwares like Adobe Premiere pro, Adobe After Effect,etc.When i was playing games i saw fps increased and laptop performance is also increased...I loved it so much..Amazon provide such a good service I like it...Thanks Amazon.."
31,"  Installed it on my MSI B250 VDH-Pro motherboard supporting RAM speeds of upto 2400 MHz. This one is 2666 MHz, so it runs at max speed of 2400 MHz. MRP is 1900, I got it at 1900."
32,  Added an 8GB stick replacing a 4GB on my Ideapad 330s. Total RAM is 12GB. Easy to install for those who know how to do it. Worked as it should right from the start. A RAM and SSD upgrade is what you can do to your old laptop for a new lease of life to it.
33,  The RAM is a powerhouse of performance. My NUC is performing fairly well with this 4GB stick. It’s great highly durable and seems premium.Cons:Could have gotten it cheaper had I waited. Bout it for 2000₹ currently at 1650₹
34,  Working fine until the... Using from last 6 months... Good product quantity just go for it ..... I bought it for my Asus Vivobook 14 4gb varient
35,  before installing this ram i was facing lag problem in  my  Laptop coz my laptop has  4Gb ram. then  i  ordered this crucial 8 GB ram then installed it. after installing this ram i am not facing any lag problem and speed of opening any app also boost up. Now after 2 months am not able to find any lag problem. and thanks for and Crucial for this Ram and Amazon for delivering this product early and Safely.
36,"  I installed it on my office laptop which had 4GB Ram with lower frequency. Still it is working seamlessly with the Samsung 4GB RAM.Now my laptop has 12 GB of total RAM and frequent blue screens and reboots are history, WHEW...!!!Never even once did I get a blue screen in the last few months of my laptop usage, after upgrade!"
37,"  This RAM is corrupted,tested it using external software and received a error confidence value 236, which means RAM is bad. Apart from this, my system is slower than before after upgrading with this ram.Applied for replacement.I will update this review after receiving the original product.Edit: Wrong item delivered, after I ordered for replacement."
38,  Works well with my Asus Rog strix G531GT. Using this along with pre-installed RAM of SK Hynix (Used CPU-Z and crucial's program to find the RAM required).Noticable improvement in fps in CSGO and valorant...and overall system score improvement found when using system benchmark test
39,  I Bought this Crucial 2666 mhz 8 GB DDR4 ram foe Rs. 2280. It turned out to be lightening fast Memory. If you want to know more about compatibility or Rams and SSDs you can visit Crucial's website and enter your Laptop's details. Crucial is one of the most trusted Brands for Manufacturing Memories and I highly recommend this product.
